Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,271,3661271,0.1796875,0.99658203125,0.0166015625,-1.5869140625,-0.9765625,-0.48828125,-326.82190386049444,-361.2695032409797,-375.1076303310705,1745594741.3338664
2,1,1,1,286,15,0.18505859375,0.99169921875,0.02099609375,-1.52587890625,-1.0986328125,-0.1220703125,-326.82190386049444,-349.2945132794126,-391.65654141623787,1745594741.3595273
3,1,1,1,301,15,0.19189453125,1.00146484375,0.021484375,-1.64794921875,-1.220703125,-0.1220703125,-314.8469138989273,-347.7976395342167,-384.13430910479815,1745594741.3660116
4,1,1,1,316,15,0.1962890625,1.0068359375,0.01025390625,-1.953125,-0.9765625,-0.42724609375,-316.3437876441232,-364.2632507313715,-391.65654141623787,1745594741.3725107
5,1,1,1,331,15,0.17919921875,0.99658203125,0.02880859375,-1.708984375,-0.79345703125,-0.42724609375,-302.8719239373602,-353.78513451500027,-375.1076303310705,1745594741.3792279
6,1,1,1,346,15,0.185546875,1.0009765625,0.02587890625,-1.8310546875,-1.0986328125,-0.30517578125,-311.85316640853557,-365.7601244765674,-366.08095155734276,1745594741.3911078
7,1,1,1,361,15,0.18603515625,0.998046875,0.0185546875,-2.01416015625,-0.91552734375,-0.6103515625,-313.3500401537314,-371.747619457351,-378.1165232556463,1745594741.3975887
8,1,1,1,376,15,0.181640625,0.9921875,0.0009765625,-1.5869140625,-0.8544921875,-0.42724609375,-322.3312826249068,-347.7976395342167,-379.62096971793426,1745594741.4040015
9,1,1,1,391,15,0.18017578125,0.99462890625,0.02783203125,-1.708984375,-0.91552734375,-0.3662109375,-316.3437876441232,-338.81639706304134,-378.1165232556463,1745594741.4333413
10,1,1,1,406,15,0.171875,0.986328125,0.025390625,-1.64794921875,-0.9765625,0.1220703125,-323.82815637010265,-349.2945132794126,-382.62986264251015,1745594741.444985
11,1,1,1,421,15,0.18603515625,0.99169921875,0.00927734375,-1.64794921875,-0.79345703125,-0.06103515625,-325.32503011529855,-347.7976395342167,-384.13430910479815,1745594741.4567695
12,1,1,1,436,15,0.1845703125,0.98681640625,0.02880859375,-2.0751953125,-0.67138671875,0.1220703125,-310.3562926633397,-356.77888200539206,-382.62986264251015,1745594741.4633658
13,1,1,1,451,15,0.18603515625,0.994140625,0.02099609375,-2.3193359375,-0.67138671875,0.1220703125,-317.8406613893191,-344.80389204382493,-379.62096971793426,1745594741.4751158
14,1,1,1,466,15,0.171875,0.9892578125,0.0107421875,-2.25830078125,-0.732421875,-0.06103515625,-313.3500401537314,-367.2569982217633,-378.1165232556463,1745594741.4921696
15,1,1,1,481,15,0.17236328125,0.9921875,0.02197265625,-2.25830078125,-1.03759765625,0.244140625,-307.3625451729478,-347.7976395342167,-397.6743272653896,1745594741.498659
16,1,1,1,496,15,0.18359375,0.99267578125,0.01708984375,-2.38037109375,-1.3427734375,0.30517578125,-346.28126254804107,-358.27575575058796,-366.08095155734276,1745594741.5051024
17,1,1,1,511,15,0.185546875,0.99853515625,0.017578125,-2.5634765625,-1.3427734375,0.18310546875,-322.3312826249068,-352.28826076980437,-376.6120767933584,1745594741.5117538
